episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
114,19791.5694,-0.63,0.0,0.0,-0.25,0.0,-3.71
115,19791.6672,-0.63,-0.0,0.0,-0.25,-0.0,-3.71
116,19791.6262,-0.63,-0.0,0.0,-0.25,-0.0,-3.71
117,19791.6571,-0.63,-0.0,0.0,-0.25,-0.0,-3.71
118,19791.6007,-0.63,0.0,0.0,-0.25,0.0,-3.71
119,19791.7935,-0.63,-0.0,0.0,-0.25,-0.0,-3.71
120,19791.6976,-0.63,0.0,0.0,-0.25,0.0,-3.71
121,19791.9212,-0.63,-0.0,0.0,-0.25,-0.0,-3.71
122,19792.1161,-0.63,-0.0,0.0,-0.24,-0.0,-3.71
123,19792.6420,-0.62,-0.0,0.0,-0.24,-0.0,-3.71
124,19794.1142,-0.62,0.0,0.0,-0.24,0.0,-3.71
125,19797.2938,-0.62,-0.0,0.0,-0.23,-0.0,-3.7
126,19800.9602,-0.61,-0.0,0.0,-0.23,-0.0,-3.7
127,19805.6769,-0.61,-0.0,0.0,-0.22,-0.0,-3.7
128,19813.9114,-0.6,-0.0,0.0,-0.21,-0.0,-3.7
129,19813.9114,-0.6,-0.0,0.0,-0.21,-0.0,-3.7
130,19817.0456,-0.6,-0.0,0.0,-0.21,-0.0,-3.7
131,19836.8597,-0.58,-0.0,0.0,-0.19,-0.0,-3.69
132,19918.2353,-0.52,-0.0,0.0,-0.11,-0.0,-3.67
133,20160.6573,-0.29,-0.0,0.0,0.16,-0.0,-3.67
134,15822.4480,0.41,-0.0,0.0,1.76,0.02,-0.84
135,5084.0435,0.08,-0.0,0.0,0.27,-0.0,-0.92
136,5264.3981,0.05,-0.0,0.0,-0.18,0.0,-0.48
137,5495.8205,0.03,0.0,0.0,0.01,0.01,0.12
138,8320.1855,0.05,0.0,0.0,0.01,0.01,-0.3
139,5644.5791,0.05,0.0,0.0,1.35,0.0,-0.21
140,5367.9261,0.05,-0.0,0.0,1.41,-0.0,-1.35
141,4926.6250,0.01,-0.0,0.0,-0.04,-0.0,-2.3
142,5285.5470,-0.05,-0.0,0.0,-1.7,-0.0,-0.93
143,8414.2821,-0.01,0.0,0.0,-1.54,0.0,-0.42
144,4631.3587,-0.1,-0.0,0.0,-0.68,-0.0,-3.23
145,6860.3441,-0.5,-0.0,0.0,-6.25,-0.0,-2.95
146,20706.7215,-15.22,-0.01,0.0,-26.82,-0.06,-11.92
147,260565.1914,-116.01,0.12,15.84,-24.36,0.06,-29.13
148,190870.5368,-20.17,-0.2,126.1,-10.52,-0.15,26.37
149,201194.3997,-6.01,0.02,127.86,-3.21,0.03,28.01
150,203188.7549,-3.57,-0.01,127.97,-1.99,-0.03,28.12
151,204336.8727,-2.02,0.17,128.01,-1.12,0.1,28.16
152,204903.3509,-1.65,-0.01,128.01,-0.93,-0.0,28.16
153,205311.1931,-0.81,0.27,128.02,-0.38,0.18,28.17
154,205467.1822,-1.09,-0.12,128.02,-0.66,-0.09,28.17
155,205712.3904,-0.61,0.1,128.03,-0.34,0.06,28.18
156,205908.8101,-0.22,0.22,128.03,-0.05,0.16,28.18
157,205955.0348,-0.31,0.16,128.03,-0.15,0.11,28.18
158,206059.8040,-0.19,0.02,128.03,-0.08,0.0,28.18
159,206058.5197,-0.2,0.06,128.03,-0.09,0.03,28.18
160,205969.0719,-0.3,0.18,128.03,-0.14,0.1,28.18
161,206035.6151,-0.29,0.19,128.03,-0.16,0.16,28.18
162,206034.4075,-0.36,0.1,128.03,-0.24,0.05,28.18
